scenario,algorithm,rules_before,rules_after,rules_reduced,reduction_percentage,time_seconds
over_permissive,random_reorder,498,169,329,66.06425702811245,2.850968837738037
over_permissive,greedy_hitcount,498,305,193,38.75502008032129,0.11405014991760254
over_permissive,static_analysis,498,140,358,71.8875502008032,0.05166196823120117
over_permissive,simulated_annealing,498,136,362,72.69076305220884,0.40630316734313965
broken_segmentation,random_reorder,201,77,124,61.69154228855721,0.560405969619751
broken_segmentation,greedy_hitcount,201,77,124,61.69154228855721,0.012449979782104492
broken_segmentation,static_analysis,201,77,124,61.69154228855721,0.009862899780273438
broken_segmentation,simulated_annealing,201,77,124,61.69154228855721,0.15800690650939941
redundant_shadowing,random_reorder,399,137,262,65.6641604010025,2.5984089374542236
redundant_shadowing,greedy_hitcount,399,391,8,2.0050125313283207,0.07227921485900879
redundant_shadowing,static_analysis,399,88,311,77.94486215538848,0.031098127365112305
redundant_shadowing,simulated_annealing,399,88,311,77.94486215538848,0.25305700302124023
port_heavy_enterprise,random_reorder,499,446,53,10.62124248496994,9.880248785018921
port_heavy_enterprise,greedy_hitcount,499,468,31,6.212424849699398,0.22279024124145508
port_heavy_enterprise,static_analysis,499,450,49,9.819639278557114,0.38676023483276367
port_heavy_enterprise,simulated_annealing,499,449,50,10.02004008016032,4.157779932022095
mixed_protocol,random_reorder,399,180,219,54.88721804511278,2.496330976486206
mixed_protocol,greedy_hitcount,399,376,23,5.764411027568922,0.07943105697631836
mixed_protocol,static_analysis,399,126,273,68.42105263157895,0.03777623176574707
mixed_protocol,simulated_annealing,399,124,275,68.92230576441104,0.24215292930603027
