iteration,timestamp,mutation_type,mutation_description,rule_count_before,rule_count_after,rule_delta,score_before,score_after,score_delta,throughput_gbps,latency_ms,tokens_used,llm_latency_ms,verification_passed,verification_time_ms,status,error_message
1,2026-03-19T20:49:55.753234,move_before,Move broad /20-src /16-dst accept rule 20 before rule 1 to match more traffic earlier,235,235,0,235.0,995.4239300682274,760.4239300682274,0.0,0.0,0,35839.608907699585,True,316.38598442077637,keep,
2,2026-03-19T20:50:41.322747,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, ports 897-2094) earlier to position 2, since it covers a large IP space (/22 src, /16 dst) and can short-circuit evaluation for matching traffic sooner. No intervening rules overlap its src/dst ranges, so security equivalence is preserved.",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,45253.029108047485,True,314.316987991333,reject,
3,2026-03-19T20:51:18.059476,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, ports 897-2094) to position 2 — widest remaining subnet pair (/22 src, /16 dst) saves ~27 rule evaluations per matching packet with no reachability conflict since no rules in positions 2-28 share src_ip 10.5.8.0/22",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,36420.366048812866,True,314.1193389892578,reject,
4,2026-03-19T20:51:54.215218,move_before,"Move broad drop rule 29 (src /22, dst /16, wide port range) earlier to position 2 — it covers the largest address space of any drop rule and no intervening rules overlap its src 10.5.8.0/22 × dst 10.4.0.0/16 traffic, so reordering is security-equivalent",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,35831.52985572815,True,321.72584533691406,reject,
5,2026-03-19T20:52:48.914821,move_before,"Move broad DROP rule 29 (src /22, dst /16, ports 897-2094) to position 2 for earlier matching of wide-range traffic — no rules in positions 2-28 overlap its src 10.5.8.0/22 × dst 10.4.0.0/16 space, so reachability is preserved",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,54378.867864608765,True,318.2528018951416,reject,
6,2026-03-19T20:53:36.238881,move_before,"Move broad drop rule 29 (src /22, dst /16, wide port range) earlier to position 2 to short-circuit evaluation for large IP range",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,47003.99613380432,True,317.73996353149414,reject,
7,2026-03-19T20:54:23.185349,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, ports 897-2094) earlier to position 2, as it has the widest IP coverage (/22 src + /16 dst) among rules in the lower half, reducing average traversal depth for matching packets",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,46623.50606918335,True,320.6970691680908,reject,
8,2026-03-19T20:55:06.215204,move_before,"Move broad drop rule 29 (src /22, dst /16) earlier to position 2 for faster matching of wide-range traffic — no IP overlap with intervening accept rules",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,42705.01089096069,True,322.34883308410645,reject,
9,2026-03-19T20:55:40.824239,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, ports 897-2094) earlier to position 2 to reject matching traffic sooner — this wide-CIDR drop rule covers a /22 src and /16 dst, matching far more traffic than the narrow /24->/24 rules preceding it",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,34293.2767868042,True,313.1976127624512,reject,
10,2026-03-19T20:56:45.387894,swap,"Swap rule 2 (specific guest drop, low-traffic /24->/24) with rule 43 (engineering HTTP accept on port 80, likely high-traffic) to put common HTTP accept earlier in chain",235,235,0,995.4239300682274,995.4239300682274,0.0,0.0,0.0,0,64247.51281738281,True,313.76004219055176,reject,
11,2026-03-19T20:57:27.442911,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, wide port range) earlier to position 2, so its large address space (/22 src × /16 dst) catches matching traffic sooner, reducing average traversal depth. No overlapping accept rules exist between positions 2-28 for this src/dst pair, so security equivalence is preserved.",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,41740.461111068726,True,312.07895278930664,reject,
12,2026-03-19T20:58:16.114613,move_before,"Move broad drop rule 29 (src /22, dst /16, wide port range) to position 2 — no accept rules in positions 2-28 overlap its traffic space (10.5.8.0/22 -> 10.4.0.0/16 ports 897-2094), so semantics are preserved while short-circuiting matching packets 27 positions earlier",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,48350.82912445068,True,318.4828758239746,reject,
13,2026-03-19T20:59:05.602558,move_before,"Move broad drop rule 29 (src /22, dst /16, ports 897-2094) earlier to position 2 — widest drop rule currently deep in the chain; no overlapping src+dst with any rules in positions 2-28, so reachability is preserved while reducing average traversal for matching packets",235,235,0,995.4239300682274,995.3056787910959,-0.11825127713143502,0.0,0.0,0,49175.995111465454,True,309.6048831939697,reject,
14,2026-03-19T20:59:44.152911,move_before,"Move broad drop rule 29 (10.5.8.0/22 -> 10.4.0.0/16, injected shadow candidate) later to position 49, reducing average chain traversal for non-matching packets since this wide-range drop rule forces evaluation for most traffic that won't match its specific src/dst subnets",235,235,0,995.4239300682274,995.5071439299126,0.08321386168518075,0.0,0.0,0,38230.16405105591,True,317.7061080932617,keep,
15,2026-03-19T21:00:16.696254,move_before,"Move broad drop rule 48 (src /22, dst /16, injected misordered) to position 2 — no overlapping accept rules exist for its src 10.5.8.0/22 × dst 10.4.0.0/16 traffic, so reorder is safe; its wide CIDR coverage means early placement short-circuits many packet evaluations",235,235,0,995.5071439299126,995.3056787910959,-0.20146513881661576,0.0,0.0,0,32233.279943466187,True,307.59692192077637,reject,
