iteration,timestamp,mutation_type,mutation_description,rule_count_before,rule_count_after,rule_delta,score_before,score_after,score_delta,throughput_gbps,latency_ms,tokens_used,llm_latency_ms,verification_passed,verification_time_ms,status,error_message
1,2026-03-19T20:38:24.504111,remove_shadowed,"Remove rule 17, fully shadowed by rule 16 (10.5.161.0/24 ⊂ 10.5.160.0/22, 10.2.255.0/24 ⊂ 10.2.252.0/22, TCP port 5432 ⊂ protocol 0/any-port)",613,612,-1,613.0,2563.891242962026,1950.891242962026,0.0,0.0,0,25048.66600036621,True,707.4418067932129,keep,
2,2026-03-19T20:39:20.639151,move_before,"Move broad /16->/22 accept rule 30 from position 30 to position 2, reducing evaluations for all matching traffic by ~28 rules per packet with no security impact (no overlapping dst in 10.4.132.0/22 exists in rules 2-29)",612,612,0,2563.891242962026,2563.6696743345747,-0.22156862745123362,0.0,0.0,0,55400.51198005676,True,728.9631366729736,reject,
3,2026-03-19T20:40:22.107831,move_before,"Move broad accept rule 30 (src 10.1.0.0/16, dst 10.4.132.0/22, proto any, accept) from position 30 to position 2. This wide-scope rule with protocol 0 and /16 source covers the largest traffic volume of any misplaced rule. No earlier rules (1-29) have overlapping dst in 10.4.132.0/22 with a conflicting action, so reachability is preserved. Moving it 28 positions earlier saves evaluations for all matching packets and shadows the redundant rule 31 (same-action subset).",612,612,0,2563.891242962026,2563.6696743345747,-0.22156862745123362,0.0,0.0,0,60778.06615829468,True,685.4279041290283,reject,
4,2026-03-19T20:40:58.859947,remove_shadowed,"Remove rule 2, fully shadowed by rule 1 (10.1.0.0/16->10.1.112.0/20 proto=any drop covers 10.1.140.0/24->10.1.125.0/24 proto=6 port 8080 drop)",612,611,-1,2563.891242962026,2569.2652057164646,5.373962754438708,0.0,0.0,0,36063.00210952759,True,682.6941967010498,keep,
5,2026-03-19T20:41:47.392627,remove_shadowed,"Remove rule 41, fully shadowed by rule 40 (10.1.192.0/20 contains 10.1.206.0/24, 10.1.172.0/22 contains 10.1.173.0/24, protocol 0 contains 6, any port contains 80, both drop)",611,610,-1,2569.2652057164646,2574.662076467712,5.3968707512472065,0.0,0.0,0,47812.16812133789,True,714.2271995544434,keep,
6,2026-03-19T20:42:41.417621,move_before,"Move broad accept rule 29 (10.1.0.0/16 -> 10.4.132.0/22, any proto/port) to position 2 for earlier matching of wide traffic — no conflicting rules exist between positions 2-28 for this IP range",610,610,0,2574.662076467712,2574.4479781070563,-0.21409836065549825,0.0,0.0,0,53317.5048828125,True,701.8167972564697,reject,
7,2026-03-19T20:43:30.498700,move_before,"Move broad accept rule 29 (10.1.0.0/16 -> 10.4.132.0/22, any proto) to position 2 — no rules at positions 2-28 have dst_ip overlapping 10.4.132.0/22, so reachability is preserved while saving 27 rule evaluations for all matching traffic from this /16×/22 coverage area",610,610,0,2574.662076467712,2574.4479781070563,-0.21409836065549825,0.0,0.0,0,48349.26795959473,True,725.8100509643555,reject,
8,2026-03-19T20:44:27.764517,move_before,"Move broad accept rule 29 (10.1.0.0/16 -> 10.4.132.0/22 any/any) to position 2 — no drop rules in positions 2-28 overlap its IP ranges, so semantics are preserved, and matching traffic skips 27 rule evaluations",610,610,0,2574.662076467712,2574.4479781070563,-0.21409836065549825,0.0,0.0,0,56519.14310455322,True,738.4700775146484,reject,
9,2026-03-19T20:45:17.072758,remove_shadowed,"Remove rule 35, fully shadowed by rule 1 (10.1.36.0/22 ⊂ 10.1.0.0/16, 10.1.120.0/22 ⊂ 10.1.112.0/20, port range 332-1395 ⊂ any, proto 6 ⊂ any, both drop)",610,609,-1,2574.662076467712,2580.452199274808,5.790122807096395,0.0,0.0,0,48586.91620826721,True,714.3068313598633,keep,
10,2026-03-19T20:45:49.581719,remove_shadowed,"Remove rule 30, fully shadowed by rule 29 (10.1.0.0/16->10.4.132.0/22 accept covers 10.1.84.0/24->10.4.135.0/24 accept)",609,608,-1,2580.452199274808,2585.840114076247,5.38791480143891,0.0,0.0,0,31795.405864715576,True,707.435131072998,keep,
